Date,Open,High,Low,Close,Adj Close,Volume
2020-04-14,153.60001,154.48,148.0,149.64,149.64,4494625
2020-04-15,160.0,165.72,157.3,161.64,161.64,5211575
2020-04-16,163.36,167.72,161.32001,162.96001,162.96001,4666350
2020-04-17,156.24001,161.67999,155.24001,156.2,156.2,4491675
2020-04-20,164.67999,172.0,160.52,171.36,171.36,4824275
2020-04-21,184.16,192.60001,182.88,185.67999,185.67999,6533300
2020-04-22,178.88,182.32001,174.84,176.75999,176.75999,4017575
2020-04-23,173.92,179.52,170.8,176.24001,176.24001,4641325
2020-04-24,172.67999,175.2,165.84399,166.08,166.08,3690650
2020-04-27,161.84,161.88,151.64,153.84,153.84,5774525
2020-04-28,148.39999,158.26401,147.84,156.28,156.28,5672300
2020-04-29,147.44,148.03999,143.39999,146.82001,146.82001,5051550
2020-04-30,149.96001,156.88,149.75999,151.48,151.48,4266225
2020-05-01,164.39999,168.28,161.24001,164.75999,164.75999,5164350
2020-05-04,170.32001,172.0,160.72,161.03999,161.03999,3378125
2020-05-05,154.8,155.8,150.24001,154.67999,154.67999,4456225
2020-05-06,151.92,157.10001,150.828,156.84,156.84,3786325
2020-05-07,151.52,152.38,148.72,149.88,149.88,4410500
2020-05-08,145.84,146.92,139.8,139.8,139.8,4867900
2020-05-11,143.56,143.89999,130.0,130.48,130.48,4733850
2020-05-12,126.512,144.0,125.68,143.60001,143.60001,6108100
2020-05-13,145.36,164.64,142.36,158.60001,158.60001,10831775
2020-05-14,166.28,171.44,149.88,149.88,149.88,8677975
2020-05-15,157.0,159.84,146.39999,146.39999,146.39999,6311825
2020-05-18,136.39999,139.67999,135.24001,136.96001,136.96001,6321025
2020-05-19,137.72,144.39999,134.67999,144.12,144.12,5756250
2020-05-20,137.44,140.36,134.8,134.8,134.8,8109800
2020-05-21,135.28,141.52,133.39999,138.72,138.72,6083675
2020-05-22,139.60001,141.72,136.8,137.39999,137.39999,3840325
2020-05-26,130.92,136.42,130.48,135.32001,135.32001,4798600
2020-05-27,131.84,141.39999,131.58,132.60001,132.60001,6655275
2020-05-28,134.24001,139.18401,132.53999,137.92,137.92,5805375
